steps,rewards
22,22.0
55,33.0
75,20.0
88,13.0
101,13.0
120,19.0
136,16.0
154,18.0
170,16.0
182,12.0
193,11.0
205,12.0
236,31.0
248,12.0
260,12.0
270,10.0
283,13.0
294,11.0
307,13.0
320,13.0
330,10.0
343,13.0
354,11.0
364,10.0
377,13.0
386,9.0
397,11.0
410,13.0
424,14.0
436,12.0
449,13.0
459,10.0
468,9.0
478,10.0
490,12.0
498,8.0
507,9.0
517,10.0
528,11.0
543,15.0
552,9.0
561,9.0
578,17.0
588,10.0
597,9.0
606,9.0
615,9.0
627,12.0
638,11.0
648,10.0
658,10.0
667,9.0
675,8.0
685,10.0
693,8.0
705,12.0
715,10.0
723,8.0
733,10.0
748,15.0
758,10.0
770,12.0
780,10.0
790,10.0
800,10.0
809,9.0
823,14.0
833,10.0
845,12.0
855,10.0
864,9.0
874,10.0
883,9.0
893,10.0
903,10.0
913,10.0
922,9.0
931,9.0
944,13.0
954,10.0
963,9.0
973,10.0
982,9.0
991,9.0
1001,10.0
1013,12.0
1023,10.0
1031,8.0
1040,9.0
1049,9.0
1060,11.0
1069,9.0
1079,10.0
1088,9.0
1098,10.0
1107,9.0
1117,10.0
1127,10.0
1136,9.0
1144,8.0
1159,15.0
1167,8.0
1178,11.0
1188,10.0
1198,10.0
1208,10.0
1217,9.0
1228,11.0
1237,9.0
1248,11.0
1257,9.0
1267,10.0
1278,11.0
1287,9.0
1296,9.0
1305,9.0
1314,9.0
1326,12.0
1335,9.0
1344,9.0
1353,9.0
1366,13.0
1377,11.0
1386,9.0
1396,10.0
1405,9.0
1415,10.0
1424,9.0
1438,14.0
1446,8.0
1456,10.0
1467,11.0
1475,8.0
1484,9.0
1493,9.0
1502,9.0
1511,9.0
1521,10.0
1531,10.0
1539,8.0
1551,12.0
1560,9.0
1569,9.0
1578,9.0
1586,8.0
1595,9.0
1605,10.0
1615,10.0
1625,10.0
1635,10.0
1644,9.0
1656,12.0
1666,10.0
1675,9.0
1684,9.0
1694,10.0
1703,9.0
1712,9.0
1725,13.0
1736,11.0
1746,10.0
1759,13.0
1769,10.0
1778,9.0
1788,10.0
1797,9.0
1813,16.0
1821,8.0
1831,10.0
1842,11.0
1852,10.0
1860,8.0
1870,10.0
1885,15.0
1895,10.0
1908,13.0
1919,11.0
1930,11.0
1940,10.0
1951,11.0
1962,11.0
1972,10.0
1982,10.0
1992,10.0
2002,10.0
2012,10.0
2022,10.0
2031,9.0
2041,10.0
2055,14.0
2064,9.0
2076,12.0
2087,11.0
2095,8.0
2105,10.0
2117,12.0
2127,10.0
2137,10.0
2157,20.0
2166,9.0
2175,9.0
2184,9.0
2193,9.0
2202,9.0
2215,13.0
2223,8.0
2233,10.0
2243,10.0
2253,10.0
2262,9.0
2272,10.0
2280,8.0
2293,13.0
2303,10.0
2315,12.0
2325,10.0
2335,10.0
2345,10.0
2354,9.0
2364,10.0
2374,10.0
2385,11.0
2395,10.0
2405,10.0
2415,10.0
